,id,link,name,rent,bedrooms,bathrooms,size,description,address,features,walk score,transit score,bike score,dogs_allowed,cats_allowed
0,w29cx1k,https://www.apartments.com/53-w-53rd-st-new-york-ny/w29cx1k/,53 W 53rd St,"18,000",2,2.5,"2,083 sq ft","About 53 W 53rd St New York, NY 10019 53 W 53rd St is an apartment located in Manhattan County, the 10019 ZIP Code, and the attendance zone.","53 W 53rd St, New York, NY 10019 – Midtown East","['In Unit Washer & Dryer', 'Air Conditioning', 'Heating', 'Cable Ready', 'Dishwasher', 'Disposal', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Breakfast Nook', 'Coffee System', 'Instant Hot Water', 'Hardwood Floors', 'Dining Room', 'Vaulted Ceiling', 'Views', 'Walk-In Closets', 'Double Pane Windows', 'Large Bedrooms']",98,100,90,,
1,kxc3bx8,https://www.apartments.com/246-e-51st-st-new-york-ny/kxc3bx8/,246 E 51st St,"3,500",2,1,800 sq ft,"About 246 E 51st St New York, NY 10022 No Fee. FURNISHED. Prime location, Walk to main attractions, shopping , trains E M 6 4 5, UN, 5th Avenue Grand Central, the UN, Whole Foods, popular NY market Associated, great restaurants on 2nd Ave.  Remodeled, Large 2 bed with tall windows in every room, kitchen, bath - unusual for NY  Eatin kitchen, granite, new appliances. Custom woodwork, large living rm. Seeking Professional Tenant - 2 people Max, good credit a Must!! 246 E 51st St is an apartment located in Manhattan County, the 10022 ZIP Code, and the attendance zone.","246 E 51st St, New York, NY 10022 – Midtown East","['Air Conditioning', 'Smoke Free', 'Kitchen', 'Furnished', 'Furnished Units Available']",100,100,80,,
2,6zt3hsr,https://www.apartments.com/58-w-58th-st-new-york-ny-unit-20-c/6zt3hsr/,58 W 58th St Unit 20 C,"6,995",3,2.5,"1,635 sq ft","About 58 W 58th St New York, NY 10019 Great Value @ Unique & Highly Desired NYC Location! Welcome Home to Residence 20C at 58 West 58 Street, Manhattan. This corner unit boasts 3 beds ( 1 could be home office or working studio), 21/2 baths, balcony, generous space, beautifully proportioned, plenty of storage space/closets.  Sun flooded morning to late afternoon; absolutely quiet in the middle of the city; with amazing views; renovated and move in ready condition.  Just around the corner you will find the most prestigious shopping block in the world (Bergdorf Goodman, Louis Vuitton, Tiffany, Chanel, Dior, Bulgari, Apple store Fifth Ave, etc.) and some of the most renowned restaurants.  Email, call or text Natasha to visit and experience this beauty for yourself. 58 W 58th St is a condo located in Manhattan County, the 10019 ZIP Code, and the attendance zone.","58 W 58th St, New York, NY 10019 – Midtown East","['In Unit Washer & Dryer', 'Air Conditioning', 'Dishwasher', 'Office', 'Laundry Facilities', 'Elevator', 'Storage Space', 'Balcony']",99,100,83,,
3,7wrj6sz,https://www.apartments.com/300-e-40th-st-new-york-ny-unit-32p/7wrj6sz/,300 E 40th St Unit 32p,"3,200",1,1,750 sq ft,"About 300 E 40th St New York, NY 10016 Check out your new rental in New York City, NY. Located at 300 E 40th St in New York City, this residential condo unit for rent is perfectly situated for work or play. Featuring 1 bedroom and 1.0 bath, this 750 square feet rental is move-in ready. Get a jump start on finding your new place. Contact us to learn more about this property. 300 E 40th St is a condo located in Manhattan County, the 10016 ZIP Code, and the attendance zone.","300 E 40th St, New York, NY 10016 – Murray Hill","['Air Conditioning', 'Smoke Free', 'Dishwasher', 'Laundry Facilities', 'Elevator', 'Fitness Center', 'Pool']",99,100,80,,
4,5hp9e2n,https://www.apartments.com/130-e-62nd-st-new-york-ny/5hp9e2n/,130 E 62nd St,"3,950 - $5,450",Studio - 2,1,327 - 830 sq ft,"About 130 E 62nd St New York, NY 10065 We specialize in furnished short term rental apartments, extended-stay & corporate housing accommodations in the heart of New York City on the Upper East Side of Manhattan. As the Townhouse was built in 1871, it is not handicap accessible. All apartments are accessed via our central open staircase. There isn't an elevator. We regret we are unable to accommodate pets (sorry, no exceptions). Smoking is not permitted. All stays must meet our 30-90 day min. Annual contracts are welcome.  The Brownstone: -This suite is one of several housed within the classic late 1800s era NYC brownstone townhouse known as 1871 House since 1998. The five-story Italianate style brownstone was designed by John Sexton and built in 1871 as part of a row of four single family brownstone houses -The brownstone building, which sits within the Upper East Side Historic District, presently offers a collection of one-of-a kind suites and suite apartments dedicated to the extended stay market. The generously sized suites and apartments are housed within the 5-story classic 1870's era brownstone tucked among other gorgeous townhouse and historic buildings on an inviting residential street between Park and Lexington Avenues. The historic turn-of-the-century brownstone brings style and easy access to the busy city.  -The wonderful stylized apartments of the townhouse feature a mix of antique and good quality reproduction furniture, hardwood floors, beautiful beds, en-suite private bathrooms, as well as high ceilings, marble fireplace mantels and modern amenities such as flat-screen TVs and Wi-Fi.  -Rooms in the front part of the house have quite stunning views of the townhouse mansions and brownstones immediately across the street from the house. Serene garden views to the Rear.  -The townhouse apartments offer stylish accommodations conveniently located a couple of blocks from Central Park, Madison Avenue shopping and Manhattan’s finest restaurants and cafes.  -There is virtually nothing comparable in the prime NYC location. If interested in applying:  o	Please send a quick introductory message with you inquiry.  o	Also include:  o	What brings you to the area? o	How many Guests will need to be accommodated - all individuals who would occupy the apartment must be disclosed in advance (2 guests maximum per suite). o	Please confirm you do not smoke or have a pet. Supplemental Fees & House Rules: * 	In addition to the base monthly charge, all stays are subject to supplemental fees & tax as follows: * 	A bundled flat rate monthly fee for wifi, electric, hot/cold water, heat, gas (if applicable), monthly cleaning and exit cleaning. Monthly cleanings include linen service. o	Lodging and Room Tax 5.875% + $2/room/night. * 	Guests must pay all fees & taxes if staying less than 180 days (tax waived if staying 180 days or longer)  * 	A Security Deposit * 	Third party bookings are not permitted.  *  1871 House is a converted 148-year-old Brownstone. In that it is a historic building constructed in the year 1871 there is no elevator in the building. All suites are accessed via our central open staircase. Guests must transport their luggage to their booked accommodations.  * 	Guests will be asked to fill out an informational questionnaire/application and to submit a copy of their government-issued ID. This could be a driver's license, passport or visa. * 	Guests shall use the apartments or suites for residential/living purposes only (WFH exception).  * 	Guests may work from home (home office use only) provided that no employees or clients come to the apartment.  * 	Guests are prohibited from running a business, manufacturing, selling goods or products (inventory) for the apartment or using the rented premises as an art studio to paint or to create artwork from.  * 	Smoking is not permitted in the building, rooms, apartments, terrace, in any common/public areas surrounding the Premises or including 25 feet from the building. * 	Fireplaces are decorative. * 	Guests are liable for stains on bedding, rugs, upholstery, etc. * 	Host may request to show the apartment to prospective Guests. Host will give guest advance notice. *  We ask guests to be prepared to abide by the house rules outlined in this listing and be respectful of the accommodation. * 	We may decline stand-alone one-month reservations that leave undesirable gaps in our schedule. Terms & Conditions: 1.Occupancy & Guests  a.	All individuals who would occupy the Premises during the rental term must be disclosed prior to making a reservation. b.	The occupancy agreement is based on a specific number of occupants. The number of occupants as specified in the rental agreement must be adhered to.  c.	Only guests in the original reservation whose IDs are verified in advance are permitted to stay in the apartment.  d.	If the number of guests staying in the apartment exceeds the number indicated on the confirmed reservation, the guest will be required to pay the daily charge of $100/night for each additional person not registered. e.	Overnight Guests and Supplemental Occupants: There is a supplemental fee to add a supplemental guest daily or monthly. The fee covers additional operating expenses such as wear and tear, utilities, more prep and cleaning, water (showers, toilets, sink us), supplies such as towels and bedding, laundry & internet use.  f.	The primary renter may have 1 occasional overnight guest provided the primary renter has provided the maximum occupancy limit (as stated herein) for the suite is not violated and advance notice has been provided to the host.  g.	The primary renter of the suite must be physically present if hosting an overnight guest. h.	Beds may not be added to any of the suites. 2. If a child under 10 years of age will be in occupancy (even part time) provisions must be made for the installation of window guards as per NYC regs. Guests/Occupants pay the cost of the window guards hardware and installation @ an estimated cost of $150/window (6 windows). Children under 10 years may not reside in the apartment unless window guards are installed. A lead time of 10 days is required for the arrangement of window guard installation.  3.	PETS: Guest agrees that they will not bring any PETS into the Accommodation 4.	Furniture: Guest agrees not to bring any furniture into the suite or to move furniture within the apartment. 5.	DAMAGES: Guest is liable for the full costs of any damages.The security deposit shall be returned only after inspection by Provider/Host and Provider/Host determines that no damages, loss or injury (other than from reasonable wear and tear) has been done to the premises or property therein and that all charges and fees have been paid. Any deductions from the security deposit shall be documented. Full List of Policies available by request. 130 E 62nd St is an apartment located in Manhattan County, the 10065 ZIP Code, and the attendance zone.","130 E 62nd St, New York, NY 10065 – Lenox Hill","['High Speed Internet Access', 'Wi-Fi', 'Air Conditioning', 'Heating', 'Smoke Free', 'Tub/Shower', 'Fireplace', 'Sprinkler System', 'Framed Mirrors', 'Dishwasher', 'Eat-in Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Breakfast Nook', 'Coffee System', 'Hardwood Floors', 'Office', 'Den', 'Built-In Bookshelves', 'Crown Molding', 'Views', 'Furnished', 'Double Pane Windows', 'Window Coverings', 'Large Bedrooms']",97,100,77,,
5,yl17krs,https://www.apartments.com/405-e-61st-st-new-york-ny/yl17krs/,405 E 61st St,"2,675 - $3,200",Studio - 1,1,600 - 800 sq ft,"About 405 E 61st St New York, NY 10065 Situated in a beautiful and centrally located building, these spacious units are perfect for a Live / Work / Office space. For Rent by OWNER. This apartment will not last!! Brokers with clients are welcome! Located on the Upper East Side and in close walking proximity of all major Hospitals, United Nations, Financial Institutions and Shopping. Near the 4,5,6, R, N, F and Q trains along with access to MTA Buses, Roosevelt Island Tram and the 59th Street/RFK Bridges.  This spacious apartment is currently beautifully FURNISHED…just bring your personal items and that is it. A minimum stay required is 30-days. Utilities (Electric, Wi-Fi, cable) are included for an additional $225 per month. The apartment can be delivered UNFURNISHED; however, a longer lease term is required. Further details can be provided depending on your need. 405 E 61st St is an apartment located in Manhattan County, the 10065 ZIP Code, and the attendance zone.","405 E 61st St, New York, NY 10065 – Lenox Hill","['High Speed Internet Access', 'Wi-Fi', 'In Unit Washer & Dryer', 'Air Conditioning', 'Heating', 'Smoke Free', 'Cable Ready', 'Satellite TV', 'Storage Units', 'Tub/Shower', 'Intercom', 'Granite Countertops', 'Pantry', 'Eat-in Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Coffee System', 'Hardwood Floors', 'Dining Room', 'Office', 'Views', 'Furnished', 'Large Bedrooms']",99,100,84,,
6,q59gn4z,https://www.apartments.com/591-3rd-ave-new-york-ny/q59gn4z/,591 3rd Ave,"7,500",3,2,"1,077 sq ft","About 591 3rd Ave New York, NY 10016 The newly constructed Lindley condominium is an exciting addition to Midtown’s sought after Murray Hill neighborhood. With only 74 unique luxury homes, this boutique full-service building offers intimacy within the heart of Manhattan with a 24 hour doorman and onsite resident manager. Amenities include a fully equipped Technogym fitness center, a large residents lounge with high speed Wi-Fi and a 60-inch smart television, a central laundry room, bicycle storage, and private storage. Residents also have access to a rooftop terrace with a Wolf grill and dining area to enjoy incredible Empire State Building views and mesmerizing Manhattan sunsets. The Lindley’s prominent location grants access to Grand Central, the United Nations, NYU Medical Center, Bryant Park and the Hamptons Jitney! 591 3rd Ave is an apartment located in Manhattan County, the 10016 ZIP Code, and the attendance zone.","591 3rd Ave, New York, NY 10016 – Murray Hill","['Wi-Fi', 'In Unit Washer & Dryer', 'Air Conditioning', 'Trash Compactor', 'Double Vanities', 'Tub/Shower', 'Intercom', 'Dishwasher', 'Disposal', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Island Kitchen', 'Eat-in Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Hardwood Floors', 'Dining Room', 'Walk-In Closets', 'Large Bedrooms']",100,100,83,,
7,wb10k5k,https://www.apartments.com/400-e-58th-st-new-york-ny/wb10k5k/,400 E 58th St Unit FL1-ID700,"6,410",2,1,"1,000 sq ft","About 400 E 58th St New York, NY 10022 Rates may vary upon exact move in and move out dates. We also offer custom pricing for any duration. Book now the lowest rate for a 12+ months lease at $6,410 / mo. Indicative prices/duration: 6 months lease: from $7,400 / mo 3 months lease: from $7,580 / mo 2 months lease: from $7,770 / mo 1 month lease: from $8,060 / mo * Prices quoted are: (1) based on moving in the first day the unit becomes available; (2) applicable only if billed upfront for the entire duration of the contract, but can be up to 9% higher if billed monthly; and (3) exclusive of any taxes or utilities. For an exact quote, visit theblueground.com or reach out! Discover the best of Midtown, with this two-bedroom Midtown East apartment. It’ll be easy to simply show up and start living in this stylishly Blueground furnished apartment with its fully-equipped kitchen, charming living room, and our dedicated, on-the-ground support. (ID #NYC700) Designed With You In Mind As with any Blueground apartment, you’ll find a thoughtfully designed space complete with beautiful furniture and a fully-equipped kitchen in this two-bedroom property. And, thanks to our superior quality mattresses, luxury linens, and towels, you can relax knowing you’ll always feel comfortably at home. When you’re ready for some fun, you can take in the Midtown vibes or bring the entertainment to you with the premium wireless speaker or smart TV.  Sleeping Arrangements Queen Bed, 63in/160cm Queen Bed, 63in/160cm Amenities Building amenities unique to this two-bedroom apartment include an on-site: Doorman In-Building Laundry Pet Friendly Elevator Arrival and ongoing support The entire apartment is yours to enjoy! You’ll either be personally greeted by a Blueground team member or given self check-in instructions. Throughout your stay, you’ll have access to our Client Experience team around the clock through the Blueground App. You can schedule additional cleanings, submit maintenance requests, and view our neighborhood recommendations with just a few taps. We’ll share all details upon confirmation of your stay. A Few Things To Note Building amenities may have an extra cost. This Blueground apartment can be booked for a minimum of one month, to a year or more. Pets are welcome, though weight limits and breed restrictions apply and may incur fees. Brokers CYOF As guidelines evolve around COVID-19, certain community amenities may have temporarily restricted access and our prices are updated to reflect this. We take great pride in ensuring every photo displayed is shot in our own apartments with our actual furnishings. That said, we regularly refresh our decor and furniture arrangement, which may differ from what’s pictured. 400 E 58th St is an apartment located in Manhattan County, the 10022 ZIP Code, and the attendance zone.","400 E 58th St, New York, NY 10022 – Sutton Place","['Wi-Fi', 'Washer/Dryer Hookup', 'Air Conditioning', 'Heating', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Furnished', 'Doorman', 'Elevator', 'Lounge', 'Corporate Suites']",100,100,81,yes,yes
8,hlgk3f2,https://www.apartments.com/117-e-57th-st-new-york-ny-unit-36h/hlgk3f2/,117 E 57th St Unit 36H,"5,600",1,2,"1,215 sq ft","About 117 E 57th St New York, NY 10022 High-Floor Junior 4 with 2 full bathrooms! At 1,200sqft apartment 36H offers an abundance of living and entertaining space with open views North & East. There is a renovated windowed kitchen with full-size stainless steel appliances and granite counters Freshly painted and ready for a new tenant. Some highlights include; hardwood floors throughout, individual hvac units and excellent closet space (5). Primary bedroom is separate from the rest of the apartment with a wonderful dressing area, that includes a sink and vanity separate from the bathroom. The Galleria is a full service condominium located at East 57th Street between Park Avenue & Lexington Avenue. Full-time doorman, fitness center, roof deck and access to the on-site garage. Lease Start mid January or upon board approval. No dogs 117 E 57th St is a condo located in Manhattan County, the 10022 ZIP Code, and the New York City Geographic District # 2 attendance zone.","117 E 57th St, New York, NY 10022 – Midtown Center","['Air Conditioning', 'Dining Room', 'Views', 'Laundry Facilities', 'Doorman', 'Fitness Center']",99,100,81,yes,yes
9,lnk75wf,https://www.apartments.com/330-e-49th-st-new-york-ny/lnk75wf/,330 E 49th St,"2,565",Studio,1,,"About 330 E 49th St New York, NY 10017 Looking for private outdoor space, 24h doorman building and excellent closet space? Look no further:)This spacious 506 SF, south facing studio in the heart of Midtown Manhattan features separate alcove kitchen with large pantry, fantastic closet space and your own PRIVATE garden oasis. Larger than most of 1 beds at this price point. Did I mention 5 closets including 1 semi walk in? Comfortable living space with efficient layout is perfect for living and entertaining.The Beekman East is a handsome postwar condominium where residents enjoy 24-hour doorman service, live-in superintendent, updated common areas and elevators, laundry and an on-site parking garage. Located just inches from the United Nations, this prime Turtle Bay/Midtown East neighborhood is an international destination filled with consulates and embassies. Enjoy easy access to Dag Hammarskjold Plaza and riverfront outdoor space, plus premier Midtown shopping, dining and entertainment. Nearby E, M, 4/5/6, S and 7 trains, the East 34th Street ferry landing, excellent bus service, CitiBike stations and proximity to the FDR, Midtown Tunnel, Queensboro Bridge and Triboro Bridge make this one of the most accessible neighborhoods in the city. 330 E 49th St is a condo located in Manhattan County, the 10017 ZIP Code, and the New York City Geographic District # 2 attendance zone.","330 E 49th St, New York, NY 10017 – Midtown East","['Air Conditioning', 'Hardwood Floors', 'Tile Floors', 'Package Service', 'Laundry Facilities', 'Controlled Access', 'Elevator']",100,100,80,,
