,id,link,name,rent,bedrooms,bathrooms,size,description,address,features,walk score,transit score,bike score,dogs_allowed,cats_allowed
0,8wyby41,https://www.apartments.com/symphony-house-new-york-ny/8wyby41/,Symphony House,"2,500 - $7,300",1 - 2,1 - 2,"450 - 1,200 sq ft","About Symphony House The building’s 24-hour attended lobby, private rooftop Starlight Club*, indoor atrium swimming pool, with fitness center, jacuzzi and private “green” roof deck, offer the ultimate in luxury amenities. A dedicated children’s playroom offers a fun and safe place for children to exercise their bodies and minds. The panoramic views of Central Park and the Hudson River from the 43rd floor roof deck are spectacular. The building’s Midtown location is one of the most desirable in Manhattan, situated steps from many of the world’s leading cultural venues including Lincoln Center, Carnegie Hall, Columbus Circle, and Broadway theaters. The best of New York City’s restaurants and shopping are at your door. Come visit us today at our on-site Leasing Office for an appointment to view your next home. Symphony House is an apartment located in Manhattan County, the 10019 ZIP Code, and the New York City Geographic District # 2 attendance zone. Unique Features 43rd Floor Furnished Roof Deck 9th Floor Landscaped Green Roof Children’s Playroom Pet policy — call for details Wheel chair accessible","235 W 56th St, New York, NY 10019 – Central Park South","['43rd Floor Furnished Roof Deck', '9th Floor Landscaped Green Roof', 'Children’s Playroom', 'Pet policy — call for details', 'Wheel chair accessible', 'Laundry Facilities', 'Property Manager on Site', 'Doorman', 'Concierge', 'Furnished Units Available', 'Fitness Center', 'Pool', 'Office', 'Furnished', 'Deck']",99,100,88,,
1,vq4qmwg,https://www.apartments.com/439-w-53rd-st-new-york-ny/vq4qmwg/,439 W 53rd St,"5,400",3,2,"1,200 sq ft","About 439 W 53rd St New York, NY 10019 MASSIVE GORGEOUS Gut Renovated 2 Bedroom can be converted to 3BR with full pressurized wall: APARTMENT features:  -Brand new kitchen with open kitchen  -Brand New Kitchen Cabinets  -Renovated Bathroom  -Great Closet Space  -Stainless Steel Appliances -MASSIVE and Very BRIGHT  -Oversized Windows  Located in the heart of the Hell's Kitchen, spectacular location!!!  Come and make this UNIQUE Gem in the most desirable city location your New Home!  UNBEATABLE Location – trains very close from your front door!  The most Popular NYC Bars and Restaurants, Parks, Trendy Area all within 2-3 min walk!!! 439 W 53rd St is an apartment located in Manhattan County, the 10019 ZIP Code, and the attendance zone.","439 W 53rd St, New York, NY 10019 – Hell's Kitchen","['In Unit Washer & Dryer', 'Stainless Steel Appliances', 'Kitchen', 'Hardwood Floors']",100,100,89,yes,yes
2,jx6htn5,https://www.apartments.com/330-w-58th-st-new-york-ny/jx6htn5/,330 W 58th St,"3,650",1,1,700 sq ft,"About 330 W 58th St New York, NY 10019 330 W 58th St is an apartment located in Manhattan County, the 10019 ZIP Code, and the attendance zone.","330 W 58th St, New York, NY 10019 – Lincoln Square","['Air Conditioning', 'Heating', 'Storage Units', 'Dishwasher', 'Kitchen', 'Refrigerator', 'Built-In Bookshelves', 'Furnished', 'Laundry Facilities', 'Elevator', 'Fitness Center', 'Gated', 'Garden']",99,100,87,,
3,f7xlgpr,https://www.apartments.com/442-w-50th-st-new-york-ny/f7xlgpr/,442 W 50th St,"2,995",1,1,500 sq ft,"About 442 W 50th St New York, NY 10019 beautifully renovated 1 bedroom/1 bathroom apartment with modern updates features a private garden, an updated kitchen (with dishwasher), beautiful hardwood floors and an in unit washer & dryer. Additional features include: Details: *private garden *individual climate control *video intercom *wine cooler *washer & dryer *modern bathroom *modern kitchen *dishwasher *hardwood floors *high ceilings *exposed brick 442 W 50th St is an apartment located in Manhattan County, the 10019 ZIP Code, and the attendance zone.","442 W 50th St, New York, NY 10019 – New York","['In Unit Washer & Dryer', 'Intercom', 'Dishwasher', 'Kitchen', 'Hardwood Floors']",100,100,95,,
4,frcenct,https://www.apartments.com/345-w-53rd-st-new-york-ny/frcenct/,345 W 53rd St,"2,804",1,1,600 sq ft,"345 W 53rd St is an apartment located in Manhattan County, the 10019 ZIP Code, and the attendance zone.","345 W 53rd St, New York, NY 10019 – Hell's Kitchen","['In Unit Washer & Dryer', 'Dishwasher', 'Deck']",100,100,91,,
5,w29cx1k,https://www.apartments.com/53-w-53rd-st-new-york-ny/w29cx1k/,53 W 53rd St,"18,000",2,2.5,"2,083 sq ft","About 53 W 53rd St New York, NY 10019 53 W 53rd St is an apartment located in Manhattan County, the 10019 ZIP Code, and the attendance zone.","53 W 53rd St, New York, NY 10019 – Midtown East","['In Unit Washer & Dryer', 'Air Conditioning', 'Heating', 'Cable Ready', 'Dishwasher', 'Disposal', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Breakfast Nook', 'Coffee System', 'Instant Hot Water', 'Hardwood Floors', 'Dining Room', 'Vaulted Ceiling', 'Views', 'Walk-In Closets', 'Double Pane Windows', 'Large Bedrooms']",98,100,90,,
6,6zt3hsr,https://www.apartments.com/58-w-58th-st-new-york-ny-unit-20-c/6zt3hsr/,58 W 58th St Unit 20 C,"6,995",3,2.5,"1,635 sq ft","About 58 W 58th St New York, NY 10019 Great Value @ Unique & Highly Desired NYC Location! Welcome Home to Residence 20C at 58 West 58 Street, Manhattan. This corner unit boasts 3 beds ( 1 could be home office or working studio), 21/2 baths, balcony, generous space, beautifully proportioned, plenty of storage space/closets.  Sun flooded morning to late afternoon; absolutely quiet in the middle of the city; with amazing views; renovated and move in ready condition.  Just around the corner you will find the most prestigious shopping block in the world (Bergdorf Goodman, Louis Vuitton, Tiffany, Chanel, Dior, Bulgari, Apple store Fifth Ave, etc.) and some of the most renowned restaurants.  Email, call or text Natasha to visit and experience this beauty for yourself. 58 W 58th St is a condo located in Manhattan County, the 10019 ZIP Code, and the attendance zone.","58 W 58th St, New York, NY 10019 – Midtown East","['In Unit Washer & Dryer', 'Air Conditioning', 'Dishwasher', 'Office', 'Laundry Facilities', 'Elevator', 'Storage Space', 'Balcony']",99,100,83,,
7,dygcbsk,https://www.apartments.com/722-tenth-avenue-new-york-ny/dygcbsk/,722 Tenth Avenue,"2,995",1,1,,"About 722 Tenth Avenue Our mission at Real New York is to turn the typical moving experience on its head. Our team is filled with real people that have real expertise, combining diverse backgrounds with knowledge of a market that includes over 1,000 exclusive Real listings and access to 100% of New York's available apartments. From Full Service to Walk Ups.This Apartment offer, Location, Living Space, and Value! Smart floor plan offers True Living Space. Gleaming Hardwood Floors Throughout. Modern Kitchen with Custom Cabinets and Ample Counter Space. Bedroom(s) offer Space for a Queen-Sized Bed with Ample Closet Spaces. Renovated bathroom with shower/ tub. Live in/ Assigned Super. Pets Case by Case. Photos may be representative of like or kind apartment.Call to ask us about current renter incentives or to book a tour! 722 Tenth Avenue is an apartment located in Manhattan County, the 10019 ZIP Code, and the attendance zone.","722 10th Ave, New York, NY 10019 – Hell's Kitchen","['Dishwasher', 'Hardwood Floors']",100,100,92,,
8,yjjsxwr,https://www.apartments.com/500-w-56th-st-new-york-ny/yjjsxwr/,500 W 56th St Unit FL11-ID76,"5,630",1,1,690 sq ft,"About 500 W 56th St New York, NY 10019 Rates may vary upon exact move in and move out dates. We also offer custom pricing for any duration. Book now the lowest rate for a 12+ months lease at $5,630 / mo. Indicative prices/duration: 6 months lease: from $6,420 / mo * Prices quoted are: (1) based on moving in the first day the unit becomes available; (2) applicable only if billed upfront for the entire duration of the contract, but can be up to 9% higher if billed monthly; and (3) exclusive of any taxes or utilities. For an exact quote, visit theblueground.com or reach out! Show up and start living from day one in Midtown with this stylish one-bedroom Blueground apartment. You’ll love coming home to this thoughtfully furnished, beautifully designed, and fully-equipped Midtown West home with stunning views over the city. (ID #NYC76) Designed With You In Mind As with any Blueground apartment, you’ll find a thoughtfully designed space complete with beautiful furniture and a fully-equipped kitchen in this one-bedroom property. And, thanks to our superior quality mattresses, luxury linens, and towels, you can relax knowing you’ll always feel comfortably at home. When you’re ready for some fun, you can take in the Midtown vibes or bring the entertainment to you with the premium wireless speaker or smart TV.  Sleeping Arrangements Queen Bed, 63in/160cm Amenities Building amenities unique to this one-bedroom apartment include an on-site: Doorman In-Building Laundry Pet Friendly Gym Roof Deck Garden Basketball Court Bike Storage Elevator Arrival and ongoing support The entire apartment is yours to enjoy! You’ll either be personally greeted by a Blueground team member or given self check-in instructions. Throughout your stay, you’ll have access to our Client Experience team around the clock through the Blueground App. You can schedule additional cleanings, submit maintenance requests, and view our neighborhood recommendations with just a few taps. We’ll share all details upon confirmation of your stay. Ideally Located This furnished apartment is located in Midtown West, also known as Hell’s Kitchen. It is one of the city’s most iconic neighborhoods. Home to the bright lights of Times Square and Broadway, the area is constantly buzzing with activity. Along Restaurant Row diners can find a wide variety of flavors to please the extremely diverse crowds. There are countless options to satisfy any craving at any time of day. Midtown West offers serene strolls along the Hudson River, perfect for spending time outdoors on a sunny day. The pier mainly consists of sightseeing boats, which offer a unique way to experience the city. Close by are the relaxing corners of Bryant Park and the New York Public Library. The Midtown West area is easily accessible by public transport. Historic Grand Central Station is only a 20 minute walk away. A Few Things To Note Building amenities may have an extra cost. This Blueground apartment can be booked for a minimum of six months, to a year or more. Pets are welcome, though weight limits and breed restrictions apply and may incur fees. Brokers CYOF As guidelines evolve around COVID-19, certain community amenities may have temporarily restricted access and our prices are updated to reflect this. We take great pride in ensuring every photo displayed is shot in our own apartments with our actual furnishings. That said, we regularly refresh our decor and furniture arrangement, which may differ from what’s pictured. 500 W 56th St is an apartment located in Manhattan County, the 10019 ZIP Code, and the attendance zone. Unique Features SharedYard","500 W 56th St, New York, NY 10019 – Hell's Kitchen","['SharedYard', 'Wi-Fi', 'Washer/Dryer Hookup', 'Air Conditioning', 'Heating', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Furnished', 'Doorman', 'Elevator', 'Lounge', 'Corporate Suites', 'Fitness Center', 'Bike Storage', 'Basketball Court', 'Roof Terrace', 'Grill', 'Garden']",99,100,84,yes,yes
9,z4v01sw,https://www.apartments.com/322-w-57th-st-new-york-ny-unit-48v/z4v01sw/,322 W 57th St Unit 48V,"3,900",Studio,1,,"About 322 W 57th St New York, NY 10019 Available for Feb 1 move in, this modern and beautifully styled furnished studio is the ideal pied a terre / corporate apartment at the Sheffield on West 57th Street between 8th and 9th Avenues, with Hudson River views. Spacious and open layout with a renovated kitchen, generous cabinet space, and a wide countertop with 2 bar stools. Large Walk in closet with built in dividers to organize clothes, shoes, and accessories, plus a linen closet off the living room. Enjoy access to the famed Sheffield penthouse amenity space. Relax and unwind in the rooftop lounge complete with BBQ grill, sundeck chairs, and a swimming pool. Or visit 1 of 2 lounges that feature panoramic views of the city skyline with a straight view of Central Park from the 57th floor. Or work up a sweat in the fitness center. Unparalleled concierge service with the front desk staff. 322 W 57th St is a condo located in Manhattan County, the 10019 ZIP Code, and the New York City Geographic District # 2 attendance zone.","322 W 57th St, New York, NY 10019 – Hell's Kitchen","['Furnished', 'Laundry Facilities', 'Doorman', 'Concierge', 'Storage Space', 'Fitness Center', 'Bike Storage', 'Courtyard']",100,100,88,yes,yes
