,for_date,abbreviation,unit_type,address,city,state,zip_code,bedrooms,bathrooms,listing_date,sqft,price_sqft,distance
0,17/01/2022,27201-A1,"6829 E Martin Luther King Jr Blvd, Unit 642
Austin, TX 78721","6829 E Martin Luther King Jr Blvd, Unit 642",Austin,TX,78721,1.0,701,2021-09-16,Apartment,2.362,1.31
1,17/01/2022,27201-A1,"7501 Shelton Ave
Austin, TX 78725",7501 Shelton Ave,Austin,TX,78725,1.0,,2021-10-24,Single Family,,2.06
2,17/01/2022,27201-A1,"5232 Hutchinson Dr
Austin, TX 78723",5232 Hutchinson Dr,Austin,TX,78723,1.0,808,2021-09-16,Single Family,2.232,2.25
3,17/01/2022,27201-A1,"6000 Ed Bluestein Blvd, Unit 201
Austin, TX 78723","6000 Ed Bluestein Blvd, Unit 201",Austin,TX,78723,1.0,695,2022-01-11,Apartment,2.142,2.28
4,17/01/2022,27201-A1,"6206 Loyola Ln, Unit 1501
Austin, TX 78724","6206 Loyola Ln, Unit 1501",Austin,TX,78724,1.0,786,2021-09-16,Apartment,1.212,1.97
5,17/01/2022,27201-A1,"Ed Bluestein Blvd, Unit 4217
Austin, TX 78721","Ed Bluestein Blvd, Unit 4217",Austin,TX,78721,1.0,527,2022-01-10,Apartment,2.942,1.9
6,17/01/2022,27201-A1,"6829 E Martin Luther King Jr Blvd, Unit 1157
Austin, TX 78721","6829 E Martin Luther King Jr Blvd, Unit 1157",Austin,TX,78721,1.0,529,2021-09-16,Apartment,2.642,1.31
7,17/01/2022,27201-A1,"8403 Colony Loop Dr, Apt B
Austin, TX 78724","8403 Colony Loop Dr, Apt B",Austin,TX,78724,2.0,"1,020",2022-01-06,Single Family,1.132,1.32
8,17/01/2022,27201-A1,"8201 Riverstone Dr, Apt D
Austin, TX 78724","8201 Riverstone Dr, Apt D",Austin,TX,78724,1.0,780,2021-09-16,Condo,1.532,1.16
9,17/01/2022,27201-A1,"4710 Little Hill Cir
Austin, TX 78725",4710 Little Hill Cir,Austin,TX,78725,2.0,"1,294",2021-06-22,Single Family,1.652,1.64
10,17/01/2022,27201-A1,"8201 Riverstone Dr, Apt A
Austin, TX 78724","8201 Riverstone Dr, Apt A",Austin,TX,78724,1.0,780,2021-07-04,Apartment,1.532,1.16
11,17/01/2022,27201-A1,"8503 Colony Loop Dr
Austin, TX 78724",8503 Colony Loop Dr,Austin,TX,78724,1.0,780,2021-06-16,Apartment,1.282,1.3
12,17/01/2022,27201-A1,"8503 Colony Loop Dr, Apt A
Austin, TX 78724","8503 Colony Loop Dr, Apt A",Austin,TX,78724,1.0,780,2021-06-27,Apartment,1.282,1.3
13,17/01/2022,27201-A1,"6800 Wentworth Dr, Unit A
Austin, TX 78724","6800 Wentworth Dr, Unit A",Austin,TX,78724,1.0,913,2021-09-14,Multi-Family,1.482,1.23
14,17/01/2022,27201-A1,"5301 Decker Ln
Austin, TX 78724",5301 Decker Ln,Austin,TX,78724,,,2022-01-10,Apartment,,0.1
15,17/01/2022,27201-A1,"5404 Northdale Dr
Austin, TX 78723",5404 Northdale Dr,Austin,TX,78723,1.0,999,2021-12-13,Single Family,1.652,2.33
16,17/01/2022,27201-A1,"10709 Fm 969 Rd
Austin, TX 78724",10709 Fm 969 Rd,Austin,TX,78724,2.5,"1,892",2021-10-27,Single Family,1.452,1.41
17,17/01/2022,27201-A1,"8913 Southwick Dr
Austin, TX 78724",8913 Southwick Dr,Austin,TX,78724,2.0,"1,203",2021-10-18,Single Family,1.662,0.39
18,17/01/2022,27201-A1,"9217 Southwick Dr
Austin, TX 78724",9217 Southwick Dr,Austin,TX,78724,2.0,"1,197",2021-11-28,Single Family,1.672,0.49
19,17/01/2022,27201-A1,"9025 China Rose Dr
Austin, TX 78724",9025 China Rose Dr,Austin,TX,78724,2.0,"1,203",2021-09-14,Single Family,1.662,0.49
20,17/01/2022,27201-A2,"5232 Hutchinson Dr
Austin, TX 78723",5232 Hutchinson Dr,Austin,TX,78723,1.0,808,2021-09-16,Single Family,2.232,2.25
21,17/01/2022,27201-A2,"6206 Loyola Ln, Unit 1501
Austin, TX 78724","6206 Loyola Ln, Unit 1501",Austin,TX,78724,1.0,786,2021-09-16,Apartment,1.212,1.97
22,17/01/2022,27201-A2,"6829 E Martin Luther King Jr Blvd, Unit 642
Austin, TX 78721","6829 E Martin Luther King Jr Blvd, Unit 642",Austin,TX,78721,1.0,701,2021-09-16,Apartment,2.362,1.31
23,17/01/2022,27201-A2,"7501 Shelton Ave
Austin, TX 78725",7501 Shelton Ave,Austin,TX,78725,1.0,,2021-10-24,Single Family,,2.06
24,17/01/2022,27201-A2,"8403 Colony Loop Dr, Apt B
Austin, TX 78724","8403 Colony Loop Dr, Apt B",Austin,TX,78724,2.0,"1,020",2022-01-06,Single Family,1.132,1.32
25,17/01/2022,27201-A2,"6000 Ed Bluestein Blvd, Unit 201
Austin, TX 78723","6000 Ed Bluestein Blvd, Unit 201",Austin,TX,78723,1.0,695,2022-01-11,Apartment,2.142,2.28
26,17/01/2022,27201-A2,"Ed Bluestein Blvd, Unit 4217
Austin, TX 78721","Ed Bluestein Blvd, Unit 4217",Austin,TX,78721,1.0,527,2022-01-10,Apartment,2.942,1.9
27,17/01/2022,27201-A2,"8201 Riverstone Dr, Apt D
Austin, TX 78724","8201 Riverstone Dr, Apt D",Austin,TX,78724,1.0,780,2021-09-16,Condo,1.532,1.16
28,17/01/2022,27201-A2,"8201 Riverstone Dr, Apt A
Austin, TX 78724","8201 Riverstone Dr, Apt A",Austin,TX,78724,1.0,780,2021-07-04,Apartment,1.532,1.16
29,17/01/2022,27201-A2,"8503 Colony Loop Dr
Austin, TX 78724",8503 Colony Loop Dr,Austin,TX,78724,1.0,780,2021-06-16,Apartment,1.282,1.3
