,for_date,data_source,abbreviation,unit_type,address,city,state,zip_code,bedrooms,bathrooms,listing_date,sqft,price_sqft,distance,ingest_time
0,2022-01-17,rentcast,as185,27201-A1,"6829 E Martin Luther King Jr Blvd, Unit 642",Austin,TX,78721,1.0,701,2021-09-16,Apartment,2.362,1.31,2022-01-18 00:44:58.587340
1,2022-01-17,rentcast,as185,27201-A1,7501 Shelton Ave,Austin,TX,78725,1.0,,2021-10-24,Single Family,,2.06,2022-01-18 00:44:58.587340
2,2022-01-17,rentcast,as185,27201-A1,5232 Hutchinson Dr,Austin,TX,78723,1.0,808,2021-09-16,Single Family,2.232,2.25,2022-01-18 00:44:58.587340
3,2022-01-17,rentcast,as185,27201-A1,"6000 Ed Bluestein Blvd, Unit 201",Austin,TX,78723,1.0,695,2022-01-11,Apartment,2.142,2.28,2022-01-18 00:44:58.587340
4,2022-01-17,rentcast,as185,27201-A1,"6206 Loyola Ln, Unit 1501",Austin,TX,78724,1.0,786,2021-09-16,Apartment,1.212,1.97,2022-01-18 00:44:58.587340
5,2022-01-17,rentcast,as185,27201-A1,"Ed Bluestein Blvd, Unit 4217",Austin,TX,78721,1.0,527,2022-01-10,Apartment,2.942,1.9,2022-01-18 00:44:58.587340
6,2022-01-17,rentcast,as185,27201-A1,"6829 E Martin Luther King Jr Blvd, Unit 1157",Austin,TX,78721,1.0,529,2021-09-16,Apartment,2.642,1.31,2022-01-18 00:44:58.587340
7,2022-01-17,rentcast,as185,27201-A1,"8403 Colony Loop Dr, Apt B",Austin,TX,78724,2.0,"1,020",2022-01-06,Single Family,1.132,1.32,2022-01-18 00:44:58.587340
8,2022-01-17,rentcast,as185,27201-A1,"8201 Riverstone Dr, Apt D",Austin,TX,78724,1.0,780,2021-09-16,Condo,1.532,1.16,2022-01-18 00:44:58.587340
9,2022-01-17,rentcast,as185,27201-A1,4710 Little Hill Cir,Austin,TX,78725,2.0,"1,294",2021-06-22,Single Family,1.652,1.64,2022-01-18 00:44:58.587340
10,2022-01-17,rentcast,as185,27201-A1,"8201 Riverstone Dr, Apt A",Austin,TX,78724,1.0,780,2021-07-04,Apartment,1.532,1.16,2022-01-18 00:44:58.587340
11,2022-01-17,rentcast,as185,27201-A1,8503 Colony Loop Dr,Austin,TX,78724,1.0,780,2021-06-16,Apartment,1.282,1.3,2022-01-18 00:44:58.587340
12,2022-01-17,rentcast,as185,27201-A1,"8503 Colony Loop Dr, Apt A",Austin,TX,78724,1.0,780,2021-06-27,Apartment,1.282,1.3,2022-01-18 00:44:58.587340
13,2022-01-17,rentcast,as185,27201-A1,"6800 Wentworth Dr, Unit A",Austin,TX,78724,1.0,913,2021-09-14,Multi-Family,1.482,1.23,2022-01-18 00:44:58.587340
14,2022-01-17,rentcast,as185,27201-A1,5301 Decker Ln,Austin,TX,78724,,,2022-01-10,Apartment,,0.1,2022-01-18 00:44:58.587340
15,2022-01-17,rentcast,as185,27201-A1,5404 Northdale Dr,Austin,TX,78723,1.0,999,2021-12-13,Single Family,1.652,2.33,2022-01-18 00:44:58.587340
16,2022-01-17,rentcast,as185,27201-A1,10709 Fm 969 Rd,Austin,TX,78724,2.5,"1,892",2021-10-27,Single Family,1.452,1.41,2022-01-18 00:44:58.587340
17,2022-01-17,rentcast,as185,27201-A1,8913 Southwick Dr,Austin,TX,78724,2.0,"1,203",2021-10-18,Single Family,1.662,0.39,2022-01-18 00:44:58.587340
18,2022-01-17,rentcast,as185,27201-A1,9217 Southwick Dr,Austin,TX,78724,2.0,"1,197",2021-11-28,Single Family,1.672,0.49,2022-01-18 00:44:58.587340
19,2022-01-17,rentcast,as185,27201-A1,9025 China Rose Dr,Austin,TX,78724,2.0,"1,203",2021-09-14,Single Family,1.662,0.49,2022-01-18 00:44:58.587340
20,2022-01-17,rentcast,as185,27201-A2,5232 Hutchinson Dr,Austin,TX,78723,1.0,808,2021-09-16,Single Family,2.232,2.25,2022-01-18 00:44:58.587340
21,2022-01-17,rentcast,as185,27201-A2,"6206 Loyola Ln, Unit 1501",Austin,TX,78724,1.0,786,2021-09-16,Apartment,1.212,1.97,2022-01-18 00:44:58.587340
22,2022-01-17,rentcast,as185,27201-A2,"6829 E Martin Luther King Jr Blvd, Unit 642",Austin,TX,78721,1.0,701,2021-09-16,Apartment,2.362,1.31,2022-01-18 00:44:58.587340
23,2022-01-17,rentcast,as185,27201-A2,7501 Shelton Ave,Austin,TX,78725,1.0,,2021-10-24,Single Family,,2.06,2022-01-18 00:44:58.587340
24,2022-01-17,rentcast,as185,27201-A2,"8403 Colony Loop Dr, Apt B",Austin,TX,78724,2.0,"1,020",2022-01-06,Single Family,1.132,1.32,2022-01-18 00:44:58.587340
25,2022-01-17,rentcast,as185,27201-A2,"6000 Ed Bluestein Blvd, Unit 201",Austin,TX,78723,1.0,695,2022-01-11,Apartment,2.142,2.28,2022-01-18 00:44:58.587340
26,2022-01-17,rentcast,as185,27201-A2,"Ed Bluestein Blvd, Unit 4217",Austin,TX,78721,1.0,527,2022-01-10,Apartment,2.942,1.9,2022-01-18 00:44:58.587340
27,2022-01-17,rentcast,as185,27201-A2,"8201 Riverstone Dr, Apt D",Austin,TX,78724,1.0,780,2021-09-16,Condo,1.532,1.16,2022-01-18 00:44:58.587340
28,2022-01-17,rentcast,as185,27201-A2,"8201 Riverstone Dr, Apt A",Austin,TX,78724,1.0,780,2021-07-04,Apartment,1.532,1.16,2022-01-18 00:44:58.587340
29,2022-01-17,rentcast,as185,27201-A2,8503 Colony Loop Dr,Austin,TX,78724,1.0,780,2021-06-16,Apartment,1.282,1.3,2022-01-18 00:44:58.587340
30,2022-01-17,rentcast,as185,27201-A2,"8503 Colony Loop Dr, Apt A",Austin,TX,78724,1.0,780,2021-06-27,Apartment,1.282,1.3,2022-01-18 00:44:58.587340
31,2022-01-17,rentcast,as185,27201-A2,4710 Little Hill Cir,Austin,TX,78725,2.0,"1,294",2021-06-22,Single Family,1.652,1.64,2022-01-18 00:44:58.587340
32,2022-01-17,rentcast,as185,27201-A2,"6800 Wentworth Dr, Unit A",Austin,TX,78724,1.0,913,2021-09-14,Multi-Family,1.482,1.23,2022-01-18 00:44:58.587340
33,2022-01-17,rentcast,as185,27201-A2,"6829 E Martin Luther King Jr Blvd, Unit 1157",Austin,TX,78721,1.0,529,2021-09-16,Apartment,2.642,1.31,2022-01-18 00:44:58.587340
34,2022-01-17,rentcast,as185,27201-A2,5404 Northdale Dr,Austin,TX,78723,1.0,999,2021-12-13,Single Family,1.652,2.33,2022-01-18 00:44:58.587340
35,2022-01-17,rentcast,as185,27201-A2,8913 Southwick Dr,Austin,TX,78724,2.0,"1,203",2021-10-18,Single Family,1.662,0.39,2022-01-18 00:44:58.587340
36,2022-01-17,rentcast,as185,27201-A2,9217 Southwick Dr,Austin,TX,78724,2.0,"1,197",2021-11-28,Single Family,1.672,0.49,2022-01-18 00:44:58.587340
37,2022-01-17,rentcast,as185,27201-A2,9025 China Rose Dr,Austin,TX,78724,2.0,"1,203",2021-09-14,Single Family,1.662,0.49,2022-01-18 00:44:58.587340
38,2022-01-17,rentcast,as185,27201-A2,5625 Signal Pt,Austin,TX,78724,2.0,"1,080",2021-11-15,Single Family,1.482,1.05,2022-01-18 00:44:58.587340
39,2022-01-17,rentcast,as185,27201-A2,5808 Glowing Star Trl,Austin,TX,78724,2.0,"1,207",2022-01-11,Single Family,1.672,0.51,2022-01-18 00:44:58.587340
40,2022-01-17,rentcast,as185,27201-B1,"8403 Colony Loop Dr, Apt B",Austin,TX,78724,2.0,"1,020",2022-01-06,Single Family,1.132,1.32,2022-01-18 00:44:58.587340
41,2022-01-17,rentcast,as185,27201-B1,4710 Little Hill Cir,Austin,TX,78725,2.0,"1,294",2021-06-22,Single Family,1.652,1.64,2022-01-18 00:44:58.587340
42,2022-01-17,rentcast,as185,27201-B1,8913 Southwick Dr,Austin,TX,78724,2.0,"1,203",2021-10-18,Single Family,1.662,0.39,2022-01-18 00:44:58.587340
43,2022-01-17,rentcast,as185,27201-B1,9217 Southwick Dr,Austin,TX,78724,2.0,"1,197",2021-11-28,Single Family,1.672,0.49,2022-01-18 00:44:58.587340
44,2022-01-17,rentcast,as185,27201-B1,9025 China Rose Dr,Austin,TX,78724,2.0,"1,203",2021-09-14,Single Family,1.662,0.49,2022-01-18 00:44:58.587340
45,2022-01-17,rentcast,as185,27201-B1,5808 Glowing Star Trl,Austin,TX,78724,2.0,"1,207",2022-01-11,Single Family,1.672,0.51,2022-01-18 00:44:58.587340
