,for_date,comp_id,data_source,abbreviation,unit_type,address,city,state,zip_code,bedrooms,bathrooms,listing_date,sqft,price_sqft,distance,ingest_time
0,2022-01-17,fe1f108b-fb33-49e7-875b-d64186e9c3a0,rentcast,as185,27201-A1,"6829 E Martin Luther King Jr Blvd, Unit 642",Austin,TX,78721,1.0,701,2021-09-16,Apartment,2.362,1.31,2022-01-18 04:29:17.242574
1,2022-01-17,14149128-c094-4f23-8ced-6d321e0c1d85,rentcast,as185,27201-A1,7501 Shelton Ave,Austin,TX,78725,1.0,,2021-10-24,Single Family,,2.06,2022-01-18 04:29:17.242574
2,2022-01-17,a3aaec22-ac37-4eb8-8b29-4c8d13bc6bb6,rentcast,as185,27201-A1,5232 Hutchinson Dr,Austin,TX,78723,1.0,808,2021-09-16,Single Family,2.232,2.25,2022-01-18 04:29:17.242574
3,2022-01-17,bdb487cc-9257-44e2-b72a-c09ff27f8185,rentcast,as185,27201-A1,"6000 Ed Bluestein Blvd, Unit 201",Austin,TX,78723,1.0,695,2022-01-11,Apartment,2.142,2.28,2022-01-18 04:29:17.242574
4,2022-01-17,fe4cec2d-1ea6-47a1-8c54-b32be5f736d9,rentcast,as185,27201-A1,"6206 Loyola Ln, Unit 1501",Austin,TX,78724,1.0,786,2021-09-16,Apartment,1.212,1.97,2022-01-18 04:29:17.242574
5,2022-01-17,a75fd2b9-2ac9-408b-a0de-d1114b13f534,rentcast,as185,27201-A1,"Ed Bluestein Blvd, Unit 4217",Austin,TX,78721,1.0,527,2022-01-10,Apartment,2.942,1.9,2022-01-18 04:29:17.242574
6,2022-01-17,aadf76aa-6906-4092-a08e-404d22f92358,rentcast,as185,27201-A1,"6829 E Martin Luther King Jr Blvd, Unit 1157",Austin,TX,78721,1.0,529,2021-09-16,Apartment,2.642,1.31,2022-01-18 04:29:17.242574
7,2022-01-17,32331961-0e98-4602-9b67-216e334f90b7,rentcast,as185,27201-A1,"8403 Colony Loop Dr, Apt B",Austin,TX,78724,2.0,"1,020",2022-01-06,Single Family,1.132,1.32,2022-01-18 04:29:17.242574
8,2022-01-17,7acbef8f-ff14-466f-a7e8-6b3e20f7349f,rentcast,as185,27201-A1,"8201 Riverstone Dr, Apt D",Austin,TX,78724,1.0,780,2021-09-16,Condo,1.532,1.16,2022-01-18 04:29:17.242574
9,2022-01-17,43c71720-f567-40fa-bc53-7402f77109ac,rentcast,as185,27201-A1,4710 Little Hill Cir,Austin,TX,78725,2.0,"1,294",2021-06-22,Single Family,1.652,1.64,2022-01-18 04:29:17.242574
