,0,1,2,3,4,5,6,7,8,9,10
0,as185,27201-A1,"6829 E Martin Luther King Jr Blvd, Unit 642
Austin, TX 78721","$1,655
$2.36 /ft2","Sep 16, 2021
118 Days Ago",80.0%,1.31 mi,1,1,701,Apartment
1,as185,27201-A1,"7501 Shelton Ave
Austin, TX 78725","$1,200","Oct 24, 2021
80 Days Ago",78.1%,2.06 mi,1,1,,Single Family
2,as185,27201-A1,"5232 Hutchinson Dr
Austin, TX 78723","$1,800
$2.23 /ft2","Sep 16, 2021
118 Days Ago",77.5%,2.25 mi,2,1,808,Single Family
3,as185,27201-A1,"6000 Ed Bluestein Blvd, Unit 201
Austin, TX 78723","$1,490
$2.14 /ft2","Jan 11, 2022
1 Day Ago",77.0%,2.28 mi,1,1,695,Apartment
4,as185,27201-A1,"6206 Loyola Ln, Unit 1501
Austin, TX 78724","$948
$1.21 /ft2","Sep 16, 2021
118 Days Ago",75.5%,1.97 mi,1,1,786,Apartment
5,as185,27201-A1,"Ed Bluestein Blvd, Unit 4217
Austin, TX 78721","$1,552
$2.94 /ft2","Jan 10, 2022
2 Days Ago",75.4%,1.9 mi,1,1,527,Apartment
6,as185,27201-A1,"6829 E Martin Luther King Jr Blvd, Unit 1157
Austin, TX 78721","$1,396
$2.64 /ft2","Sep 16, 2021
118 Days Ago",72.1%,1.31 mi,,1,529,Apartment
7,as185,27201-A1,"8403 Colony Loop Dr, Apt B
Austin, TX 78724","$1,150
$1.13 /ft2","Jan 6, 2022
6 Days Ago",72.1%,1.32 mi,2,2,"1,020",Single Family
8,as185,27201-A1,"8201 Riverstone Dr, Apt D
Austin, TX 78724","$1,195
$1.53 /ft2","Sep 16, 2021
118 Days Ago",67.8%,1.16 mi,2,1,780,Condo
9,as185,27201-A1,"4710 Little Hill Cir
Austin, TX 78725","$2,135
$1.65 /ft2","Jun 22, 2021
204 Days Ago",67.8%,1.64 mi,2,2,"1,294",Single Family
10,as185,27201-A1,"8201 Riverstone Dr, Apt A
Austin, TX 78724","$1,195
$1.53 /ft2","Jul 4, 2021
192 Days Ago",67.8%,1.16 mi,2,1,780,Apartment
11,as185,27201-A1,"8503 Colony Loop Dr
Austin, TX 78724","$995
$1.28 /ft2","Jun 16, 2021
210 Days Ago",67.4%,1.3 mi,2,1,780,Apartment
12,as185,27201-A1,"8503 Colony Loop Dr, Apt A
Austin, TX 78724","$995
$1.28 /ft2","Jun 27, 2021
199 Days Ago",67.4%,1.3 mi,2,1,780,Apartment
13,as185,27201-A1,"6800 Wentworth Dr, Unit A
Austin, TX 78724","$1,350
$1.48 /ft2","Sep 14, 2021
120 Days Ago",64.8%,1.23 mi,2,1,913,Multi-Family
14,as185,27201-A1,"5301 Decker Ln
Austin, TX 78724","$1,558","Jan 10, 2022
2 Days Ago",64.8%,0.1 mi,,,,Apartment
15,as185,27201-A1,"5404 Northdale Dr
Austin, TX 78723","$1,650
$1.65 /ft2","Dec 13, 2021
30 Days Ago",63.3%,2.33 mi,3,1,999,Single Family
16,as185,27201-A1,"10709 Fm 969 Rd
Austin, TX 78724","$2,750
$1.45 /ft2","Oct 27, 2021
77 Days Ago",62.6%,1.41 mi,2,2.5,"1,892",Single Family
17,as185,27201-A1,"8913 Southwick Dr
Austin, TX 78724","$1,995
$1.66 /ft2","Oct 18, 2021
86 Days Ago",62.4%,0.39 mi,3,2,"1,203",Single Family
18,as185,27201-A1,"9217 Southwick Dr
Austin, TX 78724","$1,995
$1.67 /ft2","Nov 28, 2021
45 Days Ago",62.2%,0.49 mi,3,2,"1,197",Single Family
19,as185,27201-A1,"9025 China Rose Dr
Austin, TX 78724","$2,000
$1.66 /ft2","Sep 14, 2021
120 Days Ago",62.1%,0.49 mi,3,2,"1,203",Single Family
20,as185,27201-A2,"5232 Hutchinson Dr
Austin, TX 78723","$1,800
$2.23 /ft2","Sep 16, 2021
118 Days Ago",81.9%,2.25 mi,2,1,808,Single Family
21,as185,27201-A2,"6206 Loyola Ln, Unit 1501
Austin, TX 78724","$948
$1.21 /ft2","Sep 16, 2021
118 Days Ago",79.1%,1.97 mi,1,1,786,Apartment
22,as185,27201-A2,"6829 E Martin Luther King Jr Blvd, Unit 642
Austin, TX 78721","$1,655
$2.36 /ft2","Sep 16, 2021
118 Days Ago",78.8%,1.31 mi,1,1,701,Apartment
23,as185,27201-A2,"7501 Shelton Ave
Austin, TX 78725","$1,200","Oct 24, 2021
80 Days Ago",78.1%,2.06 mi,1,1,,Single Family
24,as185,27201-A2,"8403 Colony Loop Dr, Apt B
Austin, TX 78724","$1,150
$1.13 /ft2","Jan 6, 2022
6 Days Ago",75.5%,1.32 mi,2,2,"1,020",Single Family
25,as185,27201-A2,"6000 Ed Bluestein Blvd, Unit 201
Austin, TX 78723","$1,490
$2.14 /ft2","Jan 11, 2022
1 Day Ago",75.5%,2.28 mi,1,1,695,Apartment
26,as185,27201-A2,"Ed Bluestein Blvd, Unit 4217
Austin, TX 78721","$1,552
$2.94 /ft2","Jan 10, 2022
2 Days Ago",71.8%,1.9 mi,1,1,527,Apartment
27,as185,27201-A2,"8201 Riverstone Dr, Apt D
Austin, TX 78724","$1,195
$1.53 /ft2","Sep 16, 2021
118 Days Ago",71.1%,1.16 mi,2,1,780,Condo
28,as185,27201-A2,"8201 Riverstone Dr, Apt A
Austin, TX 78724","$1,195
$1.53 /ft2","Jul 4, 2021
192 Days Ago",71.1%,1.16 mi,2,1,780,Apartment
29,as185,27201-A2,"8503 Colony Loop Dr
Austin, TX 78724","$995
$1.28 /ft2","Jun 16, 2021
210 Days Ago",70.7%,1.3 mi,2,1,780,Apartment
30,as185,27201-A2,"8503 Colony Loop Dr, Apt A
Austin, TX 78724","$995
$1.28 /ft2","Jun 27, 2021
199 Days Ago",70.7%,1.3 mi,2,1,780,Apartment
31,as185,27201-A2,"4710 Little Hill Cir
Austin, TX 78725","$2,135
$1.65 /ft2","Jun 22, 2021
204 Days Ago",70.5%,1.64 mi,2,2,"1,294",Single Family
32,as185,27201-A2,"6800 Wentworth Dr, Unit A
Austin, TX 78724","$1,350
$1.48 /ft2","Sep 14, 2021
120 Days Ago",68.6%,1.23 mi,2,1,913,Multi-Family
33,as185,27201-A2,"6829 E Martin Luther King Jr Blvd, Unit 1157
Austin, TX 78721","$1,396
$2.64 /ft2","Sep 16, 2021
118 Days Ago",68.6%,1.31 mi,,1,529,Apartment
34,as185,27201-A2,"5404 Northdale Dr
Austin, TX 78723","$1,650
$1.65 /ft2","Dec 13, 2021
30 Days Ago",66.8%,2.33 mi,3,1,999,Single Family
35,as185,27201-A2,"8913 Southwick Dr
Austin, TX 78724","$1,995
$1.66 /ft2","Oct 18, 2021
86 Days Ago",65.3%,0.39 mi,3,2,"1,203",Single Family
36,as185,27201-A2,"9217 Southwick Dr
Austin, TX 78724","$1,995
$1.67 /ft2","Nov 28, 2021
45 Days Ago",65.1%,0.49 mi,3,2,"1,197",Single Family
37,as185,27201-A2,"9025 China Rose Dr
Austin, TX 78724","$2,000
$1.66 /ft2","Sep 14, 2021
120 Days Ago",65.0%,0.49 mi,3,2,"1,203",Single Family
38,as185,27201-A2,"5625 Signal Pt
Austin, TX 78724","$1,595
$1.48 /ft2","Nov 15, 2021
59 Days Ago",64.9%,1.05 mi,3,2,"1,080",Single Family
39,as185,27201-A2,"5808 Glowing Star Trl
Austin, TX 78724","$2,010
$1.67 /ft2","Jan 11, 2022
1 Day Ago",64.9%,0.51 mi,3,2,"1,207",Single Family
40,as185,27201-B1,"8403 Colony Loop Dr, Apt B
Austin, TX 78724","$1,150
$1.13 /ft2","Jan 6, 2022
6 Days Ago",93.8%,1.32 mi,2,2,"1,020",Single Family
41,as185,27201-B1,"4710 Little Hill Cir
Austin, TX 78725","$2,135
$1.65 /ft2","Jun 22, 2021
204 Days Ago",91.2%,1.64 mi,2,2,"1,294",Single Family
42,as185,27201-B1,"8913 Southwick Dr
Austin, TX 78724","$1,995
$1.66 /ft2","Oct 18, 2021
86 Days Ago",86.4%,0.39 mi,3,2,"1,203",Single Family
43,as185,27201-B1,"9217 Southwick Dr
Austin, TX 78724","$1,995
$1.67 /ft2","Nov 28, 2021
45 Days Ago",86.2%,0.49 mi,3,2,"1,197",Single Family
44,as185,27201-B1,"9025 China Rose Dr
Austin, TX 78724","$2,000
$1.66 /ft2","Sep 14, 2021
120 Days Ago",86.0%,0.49 mi,3,2,"1,203",Single Family
45,as185,27201-B1,"5808 Glowing Star Trl
Austin, TX 78724","$2,010
$1.67 /ft2","Jan 11, 2022
1 Day Ago",85.9%,0.51 mi,3,2,"1,207",Single Family
46,as185,27201-B1,"5301 Decker Ln, Apt 9207
Austin, TX 78724","$1,779
$1.61 /ft2","Nov 2, 2021
71 Days Ago",85.7%,0.1 mi,2,2,"1,108",Condo
47,as185,27201-B1,"8602 FM 969
Austin, TX 78724","$1,700
$1.53 /ft2","Sep 16, 2021
118 Days Ago",85.7%,0.09 mi,2,2,"1,109",Apartment
48,as185,27201-B1,"5709 Levenwood Ln
Austin, TX 78724","$1,950
$1.62 /ft2","Jun 27, 2021
199 Days Ago",85.6%,0.58 mi,3,2,"1,207",Single Family
49,as185,27201-B1,"5625 Signal Pt
Austin, TX 78724","$1,595
$1.48 /ft2","Nov 15, 2021
59 Days Ago",85.5%,1.05 mi,3,2,"1,080",Single Family
50,as185,27201-B1,"5912 Pinon Vista Dr
Austin, TX 78724","$2,400
$1.95 /ft2","Dec 6, 2021
37 Days Ago",83.6%,1.09 mi,3,2,"1,230",Single Family
51,as185,27201-B1,"10709 Fm 969 Rd
Austin, TX 78724","$2,750
$1.45 /ft2","Oct 27, 2021
77 Days Ago",83.4%,1.41 mi,2,2.5,"1,892",Single Family
52,as185,27201-B1,"5407 Garden View Cv
Austin, TX 78724","$1,650
$1.46 /ft2","Jul 1, 2021
195 Days Ago",83.3%,1.73 mi,3,2,"1,131",Single Family
53,as185,27201-B1,"5520 Toscana Ave
Austin, TX 78724","$1,900
$1.47 /ft2","Jan 11, 2022
1 Day Ago",83.0%,0.98 mi,3,2,"1,289",Single Family
54,as185,27201-B1,"5604 Pinon Vista Dr
Austin, TX 78724","$1,600
$1.21 /ft2","Sep 9, 2021
125 Days Ago",82.3%,1.05 mi,3,2,"1,320",Single Family
55,as185,27201-B1,"5913 Alsace Trl
Austin, TX 78724","$1,695
$1.30 /ft2","Jan 11, 2022
1 Day Ago",82.2%,1.14 mi,3,2,"1,306",Single Family
56,as185,27201-B1,"5513 Nelson Oaks Dr
Austin, TX 78724","$2,200
$1.46 /ft2","Aug 15, 2021
150 Days Ago",82.1%,0.37 mi,3,2,"1,509",Single Family
57,as185,27201-B1,"5613 Nelson Oaks Dr
Austin, TX 78724","$2,200
$1.46 /ft2","Jul 10, 2021
186 Days Ago",82.0%,0.39 mi,3,2,"1,509",Single Family
58,as185,27201-B1,"6016 Signal Pt
Austin, TX 78724","$1,700
$1.29 /ft2","Jan 11, 2022
1 Day Ago",82.0%,1.17 mi,3,2,"1,320",Single Family
59,as185,27201-B1,"6025 Signal Pt
Austin, TX 78724","$1,695
$1.28 /ft2","Nov 9, 2021
64 Days Ago",81.9%,1.18 mi,3,2,"1,320",Single Family
60,as185,27201-B2,"4710 Little Hill Cir
Austin, TX 78725","$2,135
$1.65 /ft2","Jun 22, 2021
204 Days Ago",93.7%,1.64 mi,2,2,"1,294",Single Family
61,as185,27201-B2,"8403 Colony Loop Dr, Apt B
Austin, TX 78724","$1,150
$1.13 /ft2","Jan 6, 2022
6 Days Ago",91.4%,1.32 mi,2,2,"1,020",Single Family
62,as185,27201-B2,"8913 Southwick Dr
Austin, TX 78724","$1,995
$1.66 /ft2","Oct 18, 2021
86 Days Ago",87.4%,0.39 mi,3,2,"1,203",Single Family
63,as185,27201-B2,"5808 Glowing Star Trl
Austin, TX 78724","$2,010
$1.67 /ft2","Jan 11, 2022
1 Day Ago",87.0%,0.51 mi,3,2,"1,207",Single Family
64,as185,27201-B2,"9025 China Rose Dr
Austin, TX 78724","$2,000
$1.66 /ft2","Sep 14, 2021
120 Days Ago",87.0%,0.49 mi,3,2,"1,203",Single Family
65,as185,27201-B2,"9217 Southwick Dr
Austin, TX 78724","$1,995
$1.67 /ft2","Nov 28, 2021
45 Days Ago",86.9%,0.49 mi,3,2,"1,197",Single Family
66,as185,27201-B2,"5709 Levenwood Ln
Austin, TX 78724","$1,950
$1.62 /ft2","Jun 27, 2021
199 Days Ago",86.8%,0.58 mi,3,2,"1,207",Single Family
67,as185,27201-B2,"5520 Toscana Ave
Austin, TX 78724","$1,900
$1.47 /ft2","Jan 11, 2022
1 Day Ago",85.6%,0.98 mi,3,2,"1,289",Single Family
68,as185,27201-B2,"5912 Pinon Vista Dr
Austin, TX 78724","$2,400
$1.95 /ft2","Dec 6, 2021
37 Days Ago",85.6%,1.09 mi,3,2,"1,230",Single Family
69,as185,27201-B2,"10709 Fm 969 Rd
Austin, TX 78724","$2,750
$1.45 /ft2","Oct 27, 2021
77 Days Ago",85.1%,1.41 mi,2,2.5,"1,892",Single Family
70,as185,27201-B2,"5604 Pinon Vista Dr
Austin, TX 78724","$1,600
$1.21 /ft2","Sep 9, 2021
125 Days Ago",84.8%,1.05 mi,3,2,"1,320",Single Family
71,as185,27201-B2,"5913 Alsace Trl
Austin, TX 78724","$1,695
$1.30 /ft2","Jan 11, 2022
1 Day Ago",84.8%,1.14 mi,3,2,"1,306",Single Family
72,as185,27201-B2,"6016 Signal Pt
Austin, TX 78724","$1,700
$1.29 /ft2","Jan 11, 2022
1 Day Ago",84.5%,1.17 mi,3,2,"1,320",Single Family
73,as185,27201-B2,"6025 Signal Pt
Austin, TX 78724","$1,695
$1.28 /ft2","Nov 9, 2021
64 Days Ago",84.4%,1.18 mi,3,2,"1,320",Single Family
74,as185,27201-B2,"5513 Nelson Oaks Dr
Austin, TX 78724","$2,200
$1.46 /ft2","Aug 15, 2021
150 Days Ago",84.3%,0.37 mi,3,2,"1,509",Single Family
75,as185,27201-B2,"6041 Signal Pt
Austin, TX 78724","$1,650
$1.25 /ft2","Oct 27, 2021
77 Days Ago",84.3%,1.21 mi,3,2,"1,320",Single Family
