,abbreviation,unit-type,comp-address,similarity,beds,baths,sqft,type,monthly-rent,days-ago,price-sqft,dist
0,as185,27201-A1,"6829 E Martin Luther King Jr Blvd, Unit 642
Austin, TX 78721",80.00%,1,1,701,Apartment,1655,118,2.362,1.31
1,as185,27201-A1,"7501 Shelton Ave
Austin, TX 78725",78.10%,1,1,,Single Family,1200,80,,2.06
2,as185,27201-A1,"5232 Hutchinson Dr
Austin, TX 78723",77.50%,2,1,808,Single Family,1800,118,2.232,2.25
3,as185,27201-A1,"6000 Ed Bluestein Blvd, Unit 201
Austin, TX 78723",77.00%,1,1,695,Apartment,1490,1,2.142,2.28
4,as185,27201-A1,"6206 Loyola Ln, Unit 1501
Austin, TX 78724",75.50%,1,1,786,Apartment,948,118,1.212,1.97
5,as185,27201-A1,"Ed Bluestein Blvd, Unit 4217
Austin, TX 78721",75.40%,1,1,527,Apartment,1552,2,2.942,1.9
6,as185,27201-A1,"6829 E Martin Luther King Jr Blvd, Unit 1157
Austin, TX 78721",72.10%,,1,529,Apartment,1396,118,2.642,1.31
7,as185,27201-A1,"8403 Colony Loop Dr, Apt B
Austin, TX 78724",72.10%,2,2,"1,020",Single Family,1150,6,1.132,1.32
8,as185,27201-A1,"8201 Riverstone Dr, Apt D
Austin, TX 78724",67.80%,2,1,780,Condo,1195,118,1.532,1.16
9,as185,27201-A1,"4710 Little Hill Cir
Austin, TX 78725",67.80%,2,2,"1,294",Single Family,2135,204,1.652,1.64
10,as185,27201-A1,"8201 Riverstone Dr, Apt A
Austin, TX 78724",67.80%,2,1,780,Apartment,1195,192,1.532,1.16
11,as185,27201-A1,"8503 Colony Loop Dr
Austin, TX 78724",67.40%,2,1,780,Apartment,995,210,1.282,1.3
12,as185,27201-A1,"8503 Colony Loop Dr, Apt A
Austin, TX 78724",67.40%,2,1,780,Apartment,995,199,1.282,1.3
13,as185,27201-A1,"6800 Wentworth Dr, Unit A
Austin, TX 78724",64.80%,2,1,913,Multi-Family,1350,120,1.482,1.23
14,as185,27201-A1,"5301 Decker Ln
Austin, TX 78724",64.80%,,,,Apartment,1558,2,,0.1
15,as185,27201-A1,"5404 Northdale Dr
Austin, TX 78723",63.30%,3,1,999,Single Family,1650,30,1.652,2.33
16,as185,27201-A1,"10709 Fm 969 Rd
Austin, TX 78724",62.60%,2,2.5,"1,892",Single Family,2750,77,1.452,1.41
17,as185,27201-A1,"8913 Southwick Dr
Austin, TX 78724",62.40%,3,2,"1,203",Single Family,1995,86,1.662,0.39
18,as185,27201-A1,"9217 Southwick Dr
Austin, TX 78724",62.20%,3,2,"1,197",Single Family,1995,45,1.672,0.49
19,as185,27201-A1,"9025 China Rose Dr
Austin, TX 78724",62.10%,3,2,"1,203",Single Family,2000,120,1.662,0.49
20,as185,27201-A2,"5232 Hutchinson Dr
Austin, TX 78723",81.90%,2,1,808,Single Family,1800,118,2.232,2.25
21,as185,27201-A2,"6206 Loyola Ln, Unit 1501
Austin, TX 78724",79.10%,1,1,786,Apartment,948,118,1.212,1.97
22,as185,27201-A2,"6829 E Martin Luther King Jr Blvd, Unit 642
Austin, TX 78721",78.80%,1,1,701,Apartment,1655,118,2.362,1.31
23,as185,27201-A2,"7501 Shelton Ave
Austin, TX 78725",78.10%,1,1,,Single Family,1200,80,,2.06
